,betweenness,closeness centrality,clustering coefficient,degree centrality,eigenvector centrality,label,n_bills,party,photo,url,modularity_class
46,0,0,0.5,0.018518519,1.63E-41,Meir Porush,16,United Torah Judaism,photos/porush_meir.jpg,https://oknesset.org/member/103,1
47,0,0,0.285714286,0.064814815,1.63E-41,Menachem Eliezer Moses,52,United Torah Judaism,photos/moses_menachem.jpg,https://oknesset.org/member/839,0
48,0.00315709,0.158449074,0.285714286,0.12962963,8.91E-24,Merav Ben Ari,106,Kulanu,photos/BenAri_Merav.jpg,https://oknesset.org/member/915,0
49,0.012721227,0.181093885,0.19772404,0.351851852,2.16E-27,Merav Michaeli,195,Zionist Union,photos/Michaeli_Meirav.jpg,https://oknesset.org/member/881,1
50,0,0,0,0.009259259,1.63E-41,Meshulam Nahari,7,Shas,photos/nahari_meshulam.jpg,https://oknesset.org/member/222,2
51,0,0.158449074,0.5,0.037037037,8.91E-24,Michael Oren,21,Kulanu,photos/Oren_Michael.jpg,https://oknesset.org/member/910,0
52,0,0,0.28030303,0.111111111,1.63E-41,Michal Biran,92,Zionist Union,photos/Biran_Michal.jpg,https://oknesset.org/member/862,1
53,0,0,0.283068783,0.259259259,1.63E-41,Michal Rozin,300,Meretz,photos/Rozin_Michal.jpg,https://oknesset.org/member/895,1
54,0,0,0.285714286,0.138888889,1.63E-41,Mickey Levy,134,Yesh Atid,photos/Levy_Mickey.jpg,https://oknesset.org/member/876,0
55,0.002688332,0.095516569,0.31884058,0.222222222,1.44E-31,Micky Rosenthal,174,Zionist Union,photos/Rosenthal_Mickey.jpg,https://oknesset.org/member/896,1
56,0.003307496,0.481782596,0.118181818,0.416666667,5.82E-09,Miki Zohar,63,Likud,photos/Zohar_Miki.jpg,https://oknesset.org/member/922,0
57,0,0.670156695,0.086956522,0.638888889,0.99890902,Miri Regev,139,Likud,photos/regev_miri.jpg,https://oknesset.org/member/831,1
58,0.00514884,0.200555556,0.263636364,0.101851852,1.03E-13,Mordhay Yogev,60,The Jewish Home,photos/Yogev_Mordechai.jpg,https://oknesset.org/member/873,0
59,0.0161584,0.30532972,0.248106061,0.305555556,1.04E-18,Moshe Gafni,143,United Torah Judaism,photos/gafni_moshe.jpg,https://oknesset.org/member/35,1
60,0.001161111,0.065904139,0.359307359,0.203703704,1.20E-33,Nachman Shai,176,Zionist Union,photos/nachman_shai.jpg,https://oknesset.org/member/818,1
61,0.000248892,0.167458056,0.196969697,0.111111111,2.22E-20,Nava Boker,41,Likud,photos/Boker_Nava.jpg,https://oknesset.org/member/943,0
62,0,0.149750712,0.416666667,0.037037037,3.26E-12,Nissan Slomiansky,27,The Jewish Home,photos/slomiansky_nisan.jpg,https://oknesset.org/member/92,0
63,0.001010689,0.320653987,0.189655172,0.268518519,3.36E-12,Nurit Koren,60,Likud,photos/Koren_Nurit.jpg,https://oknesset.org/member/944,0
64,0,0,0,0,1.63E-41,Oded Forer,1,Yisrael Beiteinu,photos/forer_oded.jpg,https://oknesset.org/member/951,0
